ppm,x=0.5 xPbO.(1-x)B2O3
2632.3260, 903667.125000
2631.5970, 1747150.375000
2630.8679, 1630798.000000
2630.1388, 733252.125000
2629.4097, 276967.500000
2628.6807, 761220.000000
2627.9516, 910280.875000
2627.2225, 973697.125000
2626.4934, 592117.875000
2625.7644, 1059522.500000
2625.0353, 1622786.625000
2624.3062, 1594777.875000
2623.5771, 1844774.125000
2622.8481, 1866438.125000
2622.1190, 1061412.250000
2621.3899, 578052.375000
2620.6608, 720026.750000
2619.9318, 831370.750000
2619.2027, 1850687.375000
2618.4736, 2198639.125000
2617.7445, 1270247.375000
2617.0154, 222196.375000
2616.2864, 906812.375000
2615.5573, 175550.375000
2614.8282, 1304999.250000
2614.0991, 2186050.125000
2613.3701, 1752649.625000
2612.6410, 923303.250000
2611.9119, 1520322.750000
2611.1828, 1379460.000000
2610.4538, 1416886.000000
2609.7247, 2883310.375000
2608.9956, 3448871.875000
2608.2665, 2771598.125000
2607.5375, 1419982.625000
2606.8084, 166699.375000
2606.0793, 1242899.750000
2605.3502, 1731640.750000
2604.6212, 1701204.125000
2603.8921, 1609717.750000
2603.1630, 1722872.375000
2602.4339, 1396548.125000
2601.7049, 1868261.250000
2600.9758, 2357395.500000
2600.2467, 1603048.625000
2599.5176, 1307746.375000
2598.7886, 1231108.250000
2598.0595, 832462.625000
2597.3304, 1095371.750000
2596.6013, 1558306.875000
2595.8723, 1722906.500000
2595.1432, 1382325.875000
2594.4141, 2088512.625000
2593.6850, 1203372.500000
2592.9560, 1369355.375000
2592.2269, 2796829.125000
2591.4978, 1692402.250000
2590.7687, 2762316.625000
2590.0397, 4046236.750000
2589.3106, 3392694.875000
2588.5815, 2047103.875000
2587.8524, 440032.500000
2587.1234, 1722999.250000
2586.3943, 1549588.875000
2585.6652, 391502.750000
2584.9361, 1250627.000000
2584.2071, 584847.375000
2583.4780, 544029.625000
2582.7489, 274965.125000
2582.0198, 1080500.625000
2581.2908, 1659172.000000
2580.5617, 977487.125000
2579.8326, 454224.250000
2579.1035, 820744.500000
2578.3745, 1166278.125000
2577.6454, 2052005.750000
2576.9163, 2292334.375000
2576.1872, 1004118.500000
2575.4582, 934960.000000
2574.7291, 1184972.625000
2574.0000, 974459.125000
2573.2709, 2405880.125000
2572.5419, 1659185.500000
2571.8128, 1089115.250000
2571.0837, 2691593.500000
2570.3546, 2204323.000000
2569.6256, 1159611.750000
2568.8965, 618178.125000
2568.1674, 1093698.000000
2567.4383, 1688262.750000
2566.7093, 775633.625000
2565.9802, 1664370.250000
2565.2511, 2198386.000000
2564.5220, 1507812.125000
2563.7930, 1803627.750000
2563.0639, 1726565.500000
2562.3348, 670344.375000
2561.6057, 1144330.625000
2560.8767, 1231392.000000
2560.1476, 270899.375000
2559.4185, 1175478.000000
2558.6894, 1940351.875000
2557.9604, 1918299.500000
2557.2313, 1343285.625000
2556.5022, 396711.625000
2555.7731, 872013.000000
2555.0441, 2002659.625000
2554.3150, 2192627.500000
2553.5859, 1246267.000000
2552.8568, 49461.125000
2552.1278, 479974.250000
2551.3987, 650769.875000
2550.6696, 622521.250000
2549.9405, 502422.875000
2549.2115, 1073653.375000
2548.4824, 894043.250000
2547.7533, 338566.375000
2547.0242, 721083.875000
2546.2952, 1778075.125000
2545.5661, 2142599.250000
2544.8370, 1337934.125000
2544.1079, 1720116.375000
2543.3789, 1867481.375000
2542.6498, 594601.250000
2541.9207, 806821.750000
2541.1916, 1427344.250000
2540.4626, 1562751.500000
2539.7335, 1346648.625000
2539.0044, 990111.750000
2538.2753, 1056587.500000
2537.5463, 2077487.375000
2536.8172, 1619267.125000
2536.0881, 1040622.375000
2535.3590, 3399682.250000
2534.6300, 3128210.500000
2533.9009, 599228.875000
2533.1718, 1652319.625000
2532.4427, 1648848.250000
2531.7137, 541546.000000
2530.9846, 805279.125000
2530.2555, 1265944.875000
2529.5264, 1090817.000000
2528.7974, 1028374.125000
2528.0683, 913893.375000
2527.3392, 375619.875000
2526.6101, 1334360.500000
2525.8811, 834053.875000
2525.1520, 1506044.000000
2524.4229, 2168994.375000
2523.6938, 1476383.875000
2522.9648, 522232.250000
2522.2357, 1302002.875000
2521.5066, 2170985.875000
2520.7775, 1410245.250000
2520.0485, 1052335.750000
2519.3194, 1007599.750000
2518.5903, 1643129.000000
2517.8612, 3149560.125000
2517.1322, 1898437.375000
2516.4031, 1120890.250000
2515.6740, 2650772.500000
2514.9449, 1255616.625000
2514.2159, 1456833.000000
2513.4868, 2527060.875000
2512.7577, 1592774.250000
2512.0286, 144003.000000
2511.2996, 1253414.500000
2510.5705, 1008210.500000
2509.8414, 806040.125000
2509.1123, 1401045.250000
2508.3833, 717158.000000
2507.6542, 668820.375000
2506.9251, 949446.625000
2506.1960, 1914475.250000
2505.4670, 2478586.250000
2504.7379, 1396428.000000
2504.0088, 310788.625000
2503.2797, 115450.000000
2502.5507, 1509360.875000
2501.8216, 2164760.625000
2501.0925, 1108952.500000
2500.3634, 780576.375000
2499.6344, 818567.875000
2498.9053, 1273586.625000
2498.1762, 2170206.750000
2497.4471, 1474056.375000
2496.7181, 252198.250000
2495.9890, 881451.125000
2495.2599, 400834.625000
2494.5308, 578699.125000
2493.8018, 866199.750000
2493.0727, 351771.375000
2492.3436, 736855.125000
2491.6145, 1899881.875000
2490.8855, 2403045.250000
2490.1564, 1749137.625000
2489.4273, 830898.500000
2488.6982, 1355198.125000
2487.9692, 1035693.500000
2487.2401, 218101.250000
2486.5110, 945921.875000
2485.7819, 695361.250000
2485.0529, 330293.625000
2484.3238, 250707.875000
2483.5947, 596478.000000
2482.8656, 1632964.125000
2482.1366, 1995141.625000
2481.4075, 1113556.000000
2480.6784, 521464.250000
2479.9493, 1415555.875000
2479.2203, 764603.625000
2478.4912, 663242.000000
2477.7621, 824545.625000
2477.0330, 538158.375000
2476.3040, 1851351.625000
2475.5749, 1980555.875000
2474.8458, 1453667.250000
2474.1167, 1041233.000000
2473.3877, 353499.500000
2472.6586, 1216982.125000
2471.9295, 2145800.750000
2471.2004, 1971713.750000
2470.4714, 396885.750000
2469.7423, 1240629.375000
2469.0132, 1092555.625000
2468.2841, 1037176.875000
2467.5551, 2271703.000000
2466.8260, 1464353.500000
2466.0969, 530234.500000
2465.3678, 1297237.250000
2464.6388, 1302405.500000
2463.9097, 1410011.375000
2463.1806, 596397.125000
2462.4515, 879876.250000
2461.7225, 610946.250000
2460.9934, 1120779.375000
2460.2643, 1341164.250000
2459.5352, 1138881.250000
2458.8062, 2289391.625000
2458.0771, 1717686.125000
2457.3480, 1877024.750000
2456.6189, 2829474.375000
2455.8899, 2374265.375000
2455.1608, 2287745.250000
2454.4317, 1638286.000000
